Name,Mass,ModSites,ModChar,Type,Trigger,Target
TMT0,224.15248,K;NPep,,Static,True,False,
TMT2,225.15833,K;NPep,,Static,False,False,
TMT10,229.16293,K;NPep,,Static,False,True,
TMTsh,235.17677,K;NPep,,Static,False,False,
CAM,57.02146,C,,Static,True,True,
NEM,125.04767,C,,Static,False,False,
OX,15.99491,M,*,Dynamic,True,True,
Phos,79.96633,S;T;Y,#,Dynamic,False,False,
Acetyl,42.01056,NPep,@,Dynamic,False,False,
gg,114.0429,K,*,Dynamic,False,False,
ggTMT0,338.19538,K,*,Dynamic,False,False,
ggTMT2,339.20123,K,*,Dynamic,False,False,
ggTMT10,343.20583,K,*,Dynamic,False,False,
ggTMTsh,349.21967,K,*,Dynamic,False,False,
C2N1,3.004,G,^,Dynamic,False,False,
C3N1,4.007,A,#,Dynamic,False,False,
C5N1,6.0138,V;P,&,Dynamic,False,False,
C6N1,7.0171,I;L,@,Dynamic,False,False,
C9N1,10.0272,F;Y,^,Dynamic,False,False,
TMT10OL,229.16293,S;T;Y;H,$,Dynamic,False,False,
